日期,代號,名稱,收盤價,RSI,戰場預判,籌碼訊號,行動指令,1D_最高漲幅%,1D_最大跌幅%,1D_最終漲幅%,1D_觸及停損,5D_最高漲幅%,5D_最大跌幅%,5D_最終漲幅%,5D_觸及停損,10D_最高漲幅%,10D_最大跌幅%,10D_最終漲幅%,10D_觸及停損,20D_最高漲幅%,20D_最大跌幅%,20D_最終漲幅%,20D_觸及停損
2026-06-21,2344.TW,華邦電,218.5,75.14,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.6018306636155606,1.6018306636155606,1.6018306636155606,False,,,,False,,,,False,,,,False
2026-06-21,2637.TW,慧洋,77.4,59.01,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-0.38759887064458903,-0.38759887064458903,-0.38759887064458903,False,,,,False,,,,False,,,,False
2026-06-21,2352.TW,佳士達,30.85,57.37,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.9448971246011402,1.9448971246011402,1.9448971246011402,False,,,,False,,,,False,,,,False
2026-06-21,2353.TW,宏碁,34.4,52.43,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-1.1627906976744147,-1.1627906976744147,-1.1627906976744147,False,,,,False,,,,False,,,,False
2026-06-21,2356.TW,英業達,67.7,55.17,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,0.14771499521094483,0.14771499521094483,0.14771499521094483,False,,,,False,,,,False,,,,False
2026-06-22,2606.TW,裕民,62.0,43.54,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-0.4838697371944305,-0.4838697371944305,-0.4838697371944305,False,,,,False,,,,False,,,,False
2026-06-22,1795.TW,美時,191.5,40.99,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-0.5221932114882507,-0.5221932114882507,-0.5221932114882507,False,,,,False,,,,False,,,,False
2026-06-22,1802.TW,台玻,76.6,63.43,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-8.746734300419176,-8.746734300419176,-8.746734300419176,True,,,,False,,,,False,,,,False
2026-06-22,2317.TW,鴻海,269.0,52.84,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-3.5315985130111525,-3.5315985130111525,-3.5315985130111525,False,,,,False,,,,False,,,,False
2026-06-22,2330.TW,台積電,2510.0,69.51,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-0.796812749003984,-0.796812749003984,-0.796812749003984,False,,,,False,,,,False,,,,False
2026-06-22,2352.TW,佳士達,31.35,59.41,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-0.7974469490598879,-0.7974469490598879,-0.7974469490598879,False,,,,False,,,,False,,,,False
2026-06-22,2353.TW,宏碁,34.2,51.8,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-2.339176824915487,-2.339176824915487,-2.339176824915487,False,,,,False,,,,False,,,,False
2026-06-22,2377.TW,微星,137.0,58.0,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-2.5547445255474455,-2.5547445255474455,-2.5547445255474455,False,,,,False,,,,False,,,,False
2026-06-22,2382.TW,廣達,376.5,58.31,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-1.0624169986719787,-1.0624169986719787,-1.0624169986719787,False,,,,False,,,,False,,,,False
2026-06-22,2449.TW,京元電子,339.0,62.73,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-2.8023598820058995,-2.8023598820058995,-2.8023598820058995,False,,,,False,,,,False,,,,False
2026-06-22,2454.TW,聯發科,4490.0,60.39,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.0022271714922049,1.0022271714922049,1.0022271714922049,False,,,,False,,,,False,,,,False
2026-06-22,1609.TW,大亞,38.55,55.7,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-3.631643253232402,-3.631643253232402,-3.631643253232402,False,,,,False,,,,False,,,,False
2026-06-22,2324.TW,仁寶,37.65,54.77,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-2.921648772747548,-2.921648772747548,-2.921648772747548,False,,,,False,,,,False,,,,False
2026-06-22,3231.TW,緯創,162.5,54.31,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-2.4615384615384617,-2.4615384615384617,-2.4615384615384617,False,,,,False,,,,False,,,,False
2026-06-22,2886.TW,兆豐金,44.75,70.2,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.0055882970714036,1.0055882970714036,1.0055882970714036,False,,,,False,,,,False,,,,False
